,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.9436,0.6206,0.4291,0.5285,0.0786,0.3010,0.6711,0.0993,#N/A,0.2223,0.1552,0.4460,0.4319
Illinois,0.8003,0.9757,0.3472,0.6070,0.5085,0.3010,#N/A,0.4096,0.3685,0.5142,0.0908,0.4179,0.4858
Iowa,0.9684,0.4886,0.6528,0.9618,0.2961,0.6990,0.4573,#N/A,0.9020,0.7777,0.8396,0.8917,0.5681
Maryland,0.9554,0.7777,0.5483,0.0606,0.1236,0.0166,#N/A,0.3060,0.0980,0.1692,0.0687,0.5540,0.4687
Michigan,0.4801,0.9203,0.9878,0.5876,0.8764,0.7257,0.7328,#N/A,0.8289,0.9513,0.8448,0.6288,0.3767
Michigan_State,0.8612,0.6015,0.9513,0.9735,0.9444,0.8448,0.2672,0.9007,#N/A,0.6501,0.9313,0.2181,0.7647
Minnesota,0.1070,0.7467,0.9491,0.6762,0.2814,0.4829,0.4744,#N/A,0.1711,0.0382,0.1604,0.5821,0.2487
Nebraska,0.7210,0.9769,0.2790,0.9080,0.4915,0.4772,0.5256,0.7257,0.7422,0.3499,0.7234,#N/A,0.4319
Northwestern,0.9652,0.9761,0.3930,0.9007,0.7186,0.2743,0.5427,0.2743,#N/A,0.4943,0.7625,0.1977,0.5142
OSU,0.8431,0.9966,0.9915,0.9765,0.9214,0.9834,0.8720,0.9182,#N/A,0.9618,0.9092,0.7819,0.6233
Penn_State,0.6341,0.9313,0.7712,0.9044,0.9568,0.6990,0.1280,0.6940,0.6315,0.5057,#N/A,0.3712,0.2353
Purdue,0.3958,0.9460,0.3085,0.5793,0.0556,0.5171,0.0874,#N/A,0.2578,0.4858,0.2375,0.1083,0.5681
Rutgers,0.9313,0.7234,0.2288,0.8216,#N/A,0.1552,0.3289,0.9727,0.0932,0.0487,0.2766,0.8413,0.5313
Wisconsin,0.1552,0.9708,0.9863,0.9606,0.7039,0.5228,0.9126,0.5904,0.9068,0.8308,#N/A,0.8023,0.7513
